timestamp,gpu_index,memory_used_mib,memory_total_mib,gpu_utilization_percent,power_watts
2026/09/11 15:11:12.785, 0, 0, 97871, 0, 86.13
2026/09/11 15:11:12.789, 1, 0, 97871, 0, 76.07
2026/09/11 15:11:12.792, 2, 0, 97871, 0, 84.32
2026/09/11 15:11:12.796, 3, 0, 97871, 0, 80.05
2026/09/11 15:11:12.999, 0, 0, 97871, 0, 76.67
2026/09/11 15:11:12.999, 1, 0, 97871, 0, 75.95
2026/09/11 15:11:12.999, 2, 0, 97871, 0, 74.91
2026/09/11 15:11:12.999, 3, 0, 97871, 0, 75.12
2026/09/11 15:11:13.199, 0, 0, 97871, 0, 74.58
2026/09/11 15:11:13.199, 1, 0, 97871, 0, 75.84
2026/09/11 15:11:13.199, 2, 0, 97871, 0, 74.60
2026/09/11 15:11:13.199, 3, 0, 97871, 0, 75.06
2026/09/11 15:11:13.399, 0, 0, 97871, 0, 74.41
2026/09/11 15:11:13.400, 1, 0, 97871, 0, 75.80
2026/09/11 15:11:13.400, 2, 0, 97871, 0, 74.53
2026/09/11 15:11:13.400, 3, 0, 97871, 0, 75.00
2026/09/11 15:11:13.600, 0, 0, 97871, 0, 74.28
2026/09/11 15:11:13.600, 1, 0, 97871, 0, 75.78
2026/09/11 15:11:13.600, 2, 0, 97871, 0, 74.54
2026/09/11 15:11:13.600, 3, 0, 97871, 0, 75.01
2026/09/11 15:11:13.800, 0, 0, 97871, 0, 74.22
2026/09/11 15:11:13.800, 1, 0, 97871, 0, 75.75
2026/09/11 15:11:13.800, 2, 0, 97871, 0, 74.52
2026/09/11 15:11:13.800, 3, 0, 97871, 0, 75.01
2026/09/11 15:11:14.000, 0, 0, 97871, 0, 74.13
2026/09/11 15:11:14.000, 1, 0, 97871, 0, 75.73
2026/09/11 15:11:14.000, 2, 0, 97871, 0, 74.49
2026/09/11 15:11:14.000, 3, 0, 97871, 0, 74.94
2026/09/11 15:11:14.200, 0, 0, 97871, 0, 74.06
2026/09/11 15:11:14.200, 1, 0, 97871, 0, 75.70
2026/09/11 15:11:14.200, 2, 0, 97871, 0, 74.48
2026/09/11 15:11:14.200, 3, 0, 97871, 0, 74.97
2026/09/11 15:11:14.400, 0, 0, 97871, 0, 74.06
2026/09/11 15:11:14.400, 1, 0, 97871, 0, 75.69
2026/09/11 15:11:14.400, 2, 0, 97871, 0, 74.48
2026/09/11 15:11:14.400, 3, 0, 97871, 0, 74.97
2026/09/11 15:11:14.600, 0, 0, 97871, 0, 74.07
2026/09/11 15:11:14.600, 1, 0, 97871, 0, 75.70
2026/09/11 15:11:14.600, 2, 0, 97871, 0, 74.47
2026/09/11 15:11:14.600, 3, 0, 97871, 0, 74.98
2026/09/11 15:11:14.801, 0, 0, 97871, 0, 74.00
2026/09/11 15:11:14.801, 1, 0, 97871, 0, 75.72
2026/09/11 15:11:14.801, 2, 0, 97871, 0, 74.45
2026/09/11 15:11:14.801, 3, 0, 97871, 0, 74.91
2026/09/11 15:11:15.001, 0, 0, 97871, 0, 74.02
2026/09/11 15:11:15.001, 1, 0, 97871, 0, 75.71
2026/09/11 15:11:15.001, 2, 0, 97871, 0, 74.46
2026/09/11 15:11:15.001, 3, 0, 97871, 0, 74.98
2026/09/11 15:11:15.201, 0, 0, 97871, 0, 74.05
2026/09/11 15:11:15.201, 1, 0, 97871, 0, 75.73
2026/09/11 15:11:15.201, 2, 0, 97871, 0, 74.50
2026/09/11 15:11:15.201, 3, 0, 97871, 0, 75.01
2026/09/11 15:11:15.401, 0, 0, 97871, 0, 74.02
2026/09/11 15:11:15.401, 1, 0, 97871, 0, 75.71
2026/09/11 15:11:15.401, 2, 0, 97871, 0, 74.53
2026/09/11 15:11:15.401, 3, 0, 97871, 0, 74.98
2026/09/11 15:11:15.601, 0, 0, 97871, 0, 74.00
2026/09/11 15:11:15.601, 1, 0, 97871, 0, 75.70
2026/09/11 15:11:15.601, 2, 0, 97871, 0, 74.56
2026/09/11 15:11:15.601, 3, 0, 97871, 0, 74.95
2026/09/11 15:11:15.801, 0, 0, 97871, 0, 74.03
2026/09/11 15:11:15.801, 1, 0, 97871, 0, 75.69
2026/09/11 15:11:15.801, 2, 0, 97871, 0, 74.57
2026/09/11 15:11:15.801, 3, 0, 97871, 0, 75.03
2026/09/11 15:11:16.002, 0, 0, 97871, 0, 73.99
2026/09/11 15:11:16.002, 1, 0, 97871, 0, 75.69
2026/09/11 15:11:16.002, 2, 0, 97871, 0, 74.61
2026/09/11 15:11:16.002, 3, 0, 97871, 0, 75.01
2026/09/11 15:11:16.202, 0, 0, 97871, 0, 73.97
2026/09/11 15:11:16.202, 1, 0, 97871, 0, 75.68
2026/09/11 15:11:16.202, 2, 0, 97871, 0, 74.59
2026/09/11 15:11:16.202, 3, 0, 97871, 0, 74.93
2026/09/11 15:11:16.402, 0, 0, 97871, 0, 74.00
2026/09/11 15:11:16.402, 1, 0, 97871, 0, 75.69
2026/09/11 15:11:16.402, 2, 0, 97871, 0, 74.59
2026/09/11 15:11:16.402, 3, 0, 97871, 0, 74.92
2026/09/11 15:11:16.602, 0, 0, 97871, 0, 74.00
2026/09/11 15:11:16.602, 1, 0, 97871, 0, 75.68
2026/09/11 15:11:16.602, 2, 0, 97871, 0, 74.61
2026/09/11 15:11:16.602, 3, 0, 97871, 0, 74.96
