strategy,batch_size,measured_samples,measured_batches,total_measured_seconds,requests_per_second,input_tokens_per_second,output_tokens_per_second,total_tokens_per_second,batch_latency_p50_seconds,batch_latency_p95_seconds,gpu0_peak_memory_mib,gpu1_peak_memory_mib,gpu2_peak_memory_mib,gpu3_peak_memory_mib,mean_peak_memory_mib,max_peak_memory_mib,peak_memory_imbalance_mib,gpu_kv_cache_tokens,gpu_kv_cache_gib,mean_non_kv_peak_memory_mib,max_non_kv_peak_memory_mib,pre_measure_baseline_mean_mib,activation_workspace_delta_mean_mib,activation_workspace_delta_max_mib,rank0_model_loading_gib
padded,8,32,4,2.1678388118743896,14.761245081838753,4274.764317918742,37.82569052221181,4312.590008440953,0.483176589012146,0.8601536035537719,87109.0,87109.0,87109.0,87109.0,87109.0,87109.0,0.0,2902720,66.44,19074.440000000002,19074.440000000002,87105.0,4.0,4.0,14.9352
padded,16,64,4,3.814913034439087,16.776267092392587,4998.016947666398,51.901576317089564,5049.918523983487,1.0483527183532715,1.1521339297294617,87107.0,87107.0,87107.0,87107.0,87107.0,87107.0,0.0,2902720,66.44,19072.440000000002,19072.440000000002,87105.0,2.0,2.0,14.9352
padded,32,128,4,4.835165977478027,26.472721018516822,7715.55726809991,73.21361906683558,7788.7708871667455,1.2150449752807617,1.3995239734649658,87419.0,87419.0,87419.0,87419.0,87419.0,87419.0,0.0,2902720,66.44,19384.440000000002,19384.440000000002,87105.0,314.0,314.0,14.9352
padded,64,256,4,8.175708055496216,31.312272681740513,9217.305643557038,73.38813909782932,9290.693782654866,2.161176562309265,2.3123228073120115,87501.0,87501.0,87501.0,87501.0,87501.0,87501.0,0.0,2856032,65.37,20562.119999999995,20562.119999999995,87497.0,4.0,4.0,15.1227
padded,128,512,4,11.196641206741333,45.72799918708946,13673.386256927046,105.92462311696895,13779.310880044015,2.7434624433517456,3.058229577541351,89031.0,89031.0,89031.0,89031.0,89031.0,89031.0,0.0,2822768,64.61,22870.36,22870.36,89029.0,2.0,2.0,15.4978
padded,256,1024,4,19.046138286590576,53.7641796248506,16186.168311979925,132.7828225305148,16318.95113451044,4.673471450805664,5.099071526527405,93001.0,93001.0,93001.0,93001.0,93001.0,93001.0,0.0,2756352,63.09,28396.839999999997,28396.839999999997,92999.0,2.0,2.0,16.2483
padded,512,2048,4,31.069177865982056,65.91741850505723,19653.33626251392,165.4050848132271,19818.741347327148,7.532328367233276,8.422960102558136,94593.0,94593.0,94593.0,94593.0,94593.0,94593.0,0.0,2539520,58.13,35067.88,35067.88,94591.0,2.0,2.0,17.7478
multi_kernel,8,32,4,4.1117026805877686,7.78266389519818,2253.810822400048,20.429492724895223,2274.240315124943,0.9059767723083496,1.7581405282020568,86973.0,86939.0,86933.0,86739.0,86896.0,86973.0,234.0,2856864,65.39,19936.64,20013.64,86892.0,4.0,4.0,15.9221
multi_kernel,16,64,4,5.77347993850708,11.085168855120205,3302.514290009015,30.83062587830307,3333.3449158873177,1.5524088144302368,1.970185875892639,86973.0,86939.0,86933.0,86739.0,86896.0,86973.0,234.0,2856864,65.39,19936.64,20013.64,86892.0,4.0,4.0,15.9221
multi_kernel,32,128,4,6.748448371887207,18.96732299727215,5528.085560439334,50.530133922420326,5578.615694361754,1.734224557876587,2.2346080422401426,87285.0,87251.0,87245.0,87051.0,87208.0,87285.0,234.0,2856864,65.39,20248.64,20325.64,86895.5,312.5,314.0,15.9221
multi_kernel,64,256,4,10.226708889007568,25.03249117369205,7368.744022918303,62.19009525964119,7430.934118177945,2.6518540382385254,2.779149055480957,87173.0,87171.0,87165.0,86939.0,87112.0,87173.0,234.0,2807456,64.26,21309.759999999995,21370.759999999995,87110.0,2.0,2.0,16.1096
multi_kernel,128,512,4,14.825875043869019,34.534217945653644,10326.27076290584,78.71373504409728,10404.984497949938,3.6889272928237915,3.994210124015808,88863.0,88797.0,88791.0,88501.0,88738.0,88863.0,362.0,2763264,63.25,23970.0,24095.0,88738.0,0.0,0.0,16.4848
multi_kernel,256,1024,4,21.623616933822632,47.35562987144431,14256.819335242517,115.89180513460883,14372.711140377125,5.297145962715149,5.8754348158836365,91437.0,91371.0,91365.0,91203.0,91344.0,91437.0,234.0,2675104,61.23,28644.480000000003,28737.480000000003,91342.0,2.0,2.0,17.2333
multi_kernel,512,2048,4,32.59418034553528,62.83330270277937,18733.80442541612,161.16373979379884,18894.96816520992,8.00597596168518,8.904062461853027,93277.0,93211.0,93205.0,93043.0,93184.0,93277.0,234.0,2424592,55.49,36362.24,36455.24,93184.0,0.0,0.0,18.7347
cross_layer,8,32,4,1.7681047916412354,18.098474791359024,5241.205184110127,40.155990943327836,5281.361175053456,0.4166220426559448,0.5737433314323425,87129.0,87065.0,87357.0,86969.0,87130.0,87357.0,388.0,3195472,73.14,12234.64,12461.64,87126.0,4.0,4.0,8.2345
cross_layer,16,64,4,3.2850918769836426,19.481951311134875,5804.09946327201,55.4017990410398,5859.50126231305,0.8436851501464844,1.0465911865234374,87127.0,87063.0,87355.0,86967.0,87128.0,87355.0,388.0,3195472,73.14,12232.64,12459.64,87126.0,2.0,2.0,8.2345
