timestamp,gpu_index,memory_used_mib,memory_total_mib,gpu_utilization_percent,power_watts
2026/09/22 22:34:22.088, 0, 0, 97871, 0, 73.59
2026/09/22 22:34:22.092, 1, 0, 97871, 0, 75.80
2026/09/22 22:34:22.095, 2, 0, 97871, 0, 73.71
2026/09/22 22:34:22.099, 3, 0, 97871, 0, 74.03
2026/09/22 22:34:22.302, 0, 0, 97871, 0, 73.56
2026/09/22 22:34:22.302, 1, 0, 97871, 0, 75.79
2026/09/22 22:34:22.302, 2, 0, 97871, 0, 73.68
2026/09/22 22:34:22.302, 3, 0, 97871, 0, 74.01
2026/09/22 22:34:22.502, 0, 0, 97871, 0, 73.51
2026/09/22 22:34:22.503, 1, 0, 97871, 0, 75.82
2026/09/22 22:34:22.503, 2, 0, 97871, 0, 73.68
2026/09/22 22:34:22.503, 3, 0, 97871, 0, 73.99
2026/09/22 22:34:22.703, 0, 0, 97871, 0, 73.51
2026/09/22 22:34:22.703, 1, 0, 97871, 0, 75.76
2026/09/22 22:34:22.703, 2, 0, 97871, 0, 73.65
2026/09/22 22:34:22.703, 3, 0, 97871, 0, 73.99
2026/09/22 22:34:22.903, 0, 0, 97871, 0, 73.50
2026/09/22 22:34:22.903, 1, 0, 97871, 0, 75.73
2026/09/22 22:34:22.903, 2, 0, 97871, 0, 73.67
2026/09/22 22:34:22.903, 3, 0, 97871, 0, 74.02
2026/09/22 22:34:23.103, 0, 0, 97871, 0, 73.49
2026/09/22 22:34:23.103, 1, 0, 97871, 0, 75.74
2026/09/22 22:34:23.103, 2, 0, 97871, 0, 73.65
2026/09/22 22:34:23.103, 3, 0, 97871, 0, 73.99
2026/09/22 22:34:23.303, 0, 0, 97871, 0, 73.51
2026/09/22 22:34:23.303, 1, 0, 97871, 0, 75.72
2026/09/22 22:34:23.303, 2, 0, 97871, 0, 73.67
2026/09/22 22:34:23.303, 3, 0, 97871, 0, 74.01
2026/09/22 22:34:23.504, 0, 0, 97871, 0, 73.55
2026/09/22 22:34:23.504, 1, 0, 97871, 0, 75.66
2026/09/22 22:34:23.504, 2, 0, 97871, 0, 73.65
2026/09/22 22:34:23.504, 3, 0, 97871, 0, 74.02
2026/09/22 22:34:23.704, 0, 0, 97871, 0, 73.56
2026/09/22 22:34:23.704, 1, 0, 97871, 0, 75.67
2026/09/22 22:34:23.704, 2, 0, 97871, 0, 73.65
2026/09/22 22:34:23.704, 3, 0, 97871, 0, 74.02
2026/09/22 22:34:23.904, 0, 0, 97871, 0, 73.58
2026/09/22 22:34:23.904, 1, 0, 97871, 0, 75.65
2026/09/22 22:34:23.904, 2, 0, 97871, 0, 73.61
2026/09/22 22:34:23.904, 3, 0, 97871, 0, 73.99
2026/09/22 22:34:24.104, 0, 0, 97871, 0, 73.62
2026/09/22 22:34:24.104, 1, 0, 97871, 0, 75.62
2026/09/22 22:34:24.104, 2, 0, 97871, 0, 73.62
2026/09/22 22:34:24.104, 3, 0, 97871, 0, 74.00
2026/09/22 22:34:24.304, 0, 0, 97871, 0, 73.61
2026/09/22 22:34:24.304, 1, 0, 97871, 0, 75.63
2026/09/22 22:34:24.304, 2, 0, 97871, 0, 73.61
2026/09/22 22:34:24.304, 3, 0, 97871, 0, 73.99
2026/09/22 22:34:24.504, 0, 0, 97871, 0, 73.60
2026/09/22 22:34:24.505, 1, 0, 97871, 0, 75.65
2026/09/22 22:34:24.505, 2, 0, 97871, 0, 73.61
2026/09/22 22:34:24.505, 3, 0, 97871, 0, 73.96
2026/09/22 22:34:24.705, 0, 0, 97871, 0, 73.62
2026/09/22 22:34:24.705, 1, 0, 97871, 0, 75.64
2026/09/22 22:34:24.705, 2, 0, 97871, 0, 73.60
2026/09/22 22:34:24.705, 3, 0, 97871, 0, 73.96
2026/09/22 22:34:24.905, 0, 0, 97871, 0, 73.61
2026/09/22 22:34:24.905, 1, 0, 97871, 0, 75.64
2026/09/22 22:34:24.905, 2, 0, 97871, 0, 73.60
2026/09/22 22:34:24.905, 3, 0, 97871, 0, 73.96
2026/09/22 22:34:25.105, 0, 0, 97871, 0, 73.58
2026/09/22 22:34:25.105, 1, 0, 97871, 0, 75.64
2026/09/22 22:34:25.105, 2, 0, 97871, 0, 73.59
2026/09/22 22:34:25.105, 3, 0, 97871, 0, 73.94
2026/09/22 22:34:25.305, 0, 0, 97871, 0, 73.53
2026/09/22 22:34:25.305, 1, 0, 97871, 0, 75.62
