strategy,batch_size,measured_samples,measured_batches,total_measured_seconds,requests_per_second,input_tokens_per_second,output_tokens_per_second,total_tokens_per_second,batch_latency_p50_seconds,batch_latency_p95_seconds,gpu0_peak_memory_mib,gpu1_peak_memory_mib,gpu2_peak_memory_mib,gpu3_peak_memory_mib,mean_peak_memory_mib,max_peak_memory_mib,peak_memory_imbalance_mib,gpu_kv_cache_tokens,gpu_kv_cache_gib,mean_non_kv_peak_memory_mib,max_non_kv_peak_memory_mib,pre_measure_baseline_mean_mib,activation_workspace_delta_mean_mib,activation_workspace_delta_max_mib,rank0_model_loading_gib
padded,8,32,4,1.0891191959381104,29.381540715969912,8508.71055671541,29.381540715969912,8538.092097431381,0.2769136428833008,0.29293614625930786,87109.0,87109.0,87109.0,87109.0,87109.0,87109.0,0.0,2902720,66.44,19074.440000000002,19074.440000000002,87105.0,4.0,4.0,14.9352
padded,16,64,4,1.6772117614746094,38.158568566041424,11368.272294511124,38.158568566041424,11406.430863077165,0.4147387742996216,0.44471356868743894,87107.0,87107.0,87107.0,87107.0,87107.0,87107.0,0.0,2902720,66.44,19072.440000000002,19072.440000000002,87105.0,2.0,2.0,14.9352
padded,32,128,4,3.0119361877441406,42.497580300952045,12386.052583650915,42.497580300952045,12428.550163951866,0.7416760921478271,0.7979267001152038,87405.0,87405.0,87405.0,87405.0,87405.0,87405.0,0.0,2902720,66.44,19370.440000000002,19370.440000000002,87105.0,300.0,300.0,14.9352
padded,64,256,4,5.235029935836792,48.901344049158666,14394.951112720699,48.901344049158666,14443.852456769859,1.3125022649765015,1.423477280139923,87501.0,87501.0,87501.0,87501.0,87501.0,87501.0,0.0,2856032,65.37,20562.119999999995,20562.119999999995,87497.0,4.0,4.0,15.1227
padded,128,512,4,8.784850597381592,58.28215224885059,17427.274181035216,58.28215224885059,17485.556333284065,2.179771661758423,2.424251341819763,89031.0,89031.0,89031.0,89031.0,89031.0,89031.0,0.0,2822768,64.61,22870.36,22870.36,88432.0,599.0,599.0,15.4978
padded,256,1024,4,15.421909809112549,66.3990395920313,19990.001485927518,66.3990395920313,20056.400525519548,3.7569165229797363,4.247565686702728,93001.0,93001.0,93001.0,93001.0,93001.0,93001.0,0.0,2756352,63.09,28396.839999999997,28396.839999999997,92997.0,4.0,4.0,16.2483
padded,512,2048,4,26.96108078956604,75.96134650479507,22647.942223306854,75.96134650479507,22723.90356981165,6.60801088809967,7.22150844335556,94591.0,94591.0,94591.0,94591.0,94591.0,94591.0,0.0,2539520,58.13,35065.88,35065.88,94589.0,2.0,2.0,17.7478
multi_kernel,8,32,4,1.4686789512634277,21.788288020654257,6309.752033981344,21.788288020654257,6331.540322001998,0.3653832674026489,0.39017701148986816,87075.0,86361.0,85979.0,86009.0,86356.0,87075.0,1096.0,2859472,65.45,19335.199999999997,20054.199999999997,86352.0,4.0,4.0,15.8625
multi_kernel,16,64,4,2.0576024055480957,31.10416270287745,9266.610472746317,31.10416270287745,9297.714635449196,0.5013777017593384,0.5564064145088196,87075.0,86361.0,85979.0,86009.0,86356.0,87075.0,1096.0,2859472,65.45,19335.199999999997,20054.199999999997,86352.0,4.0,4.0,15.8625
multi_kernel,32,128,4,3.398470640182495,37.664000532053,10977.29065506851,37.664000532053,11014.954655600563,0.8573602437973022,0.8877402544021606,87387.0,86673.0,86291.0,86321.0,86668.0,87387.0,1096.0,2859472,65.45,19647.199999999997,20366.199999999997,86352.0,316.0,316.0,15.8625
