strategy,batch_index,completed_samples,elapsed_seconds,batch_seconds,batch_requests_per_second,batch_total_tokens_per_second,cumulative_requests_per_second,cumulative_total_tokens_per_second,batch_input_tokens,batch_output_tokens,gpu_memory_mean_mib,gpu_memory_peak_max_mib,gpu_memory_peak_min_mib,gpu_memory_peak_imbalance_mib,gpu_utilization_mean_percent,gpu_power_mean_watts
padded,0,8,1.6006379127502441,1.6006379127502441,4.998007317129119,1172.0327158667783,4.998007317129119,1172.0327158667783,1858,18,29670.6875,29671.0,29671.0,0.0,46.28125,153.96656249999998
padded,1,16,4.4413838386535645,2.7242536544799805,2.936584112439075,954.0227635286445,3.6995147164456714,1034.7080222558986,2570,29,29671.0,29671.0,29671.0,0.0,57.875,162.99232142857144
padded,2,24,6.036496162414551,1.4788899421691895,5.40946271381483,1749.2850050798704,4.1352349259067065,1216.7928769480484,2569,18,29671.0,29671.0,29671.0,0.0,54.642857142857146,156.24571428571429
padded,3,32,8.240595817565918,2.0997440814971924,3.8099881173593855,1091.085347108794,4.048826012135401,1183.3959278594502,2270,21,29671.0,29671.0,29671.0,0.0,54.1,163.13849999999996
padded,4,40,9.650811195373535,1.3056418895721436,6.127254390268978,1877.237563818658,4.343497942114088,1281.7662427178675,2428,23,29671.0,29671.0,29671.0,0.0,62.166666666666664,155.99250000000004
padded,5,48,12.228878021240234,2.482600450515747,3.2224275148012813,999.7581364670975,4.105452681180458,1221.8853542363338,2434,48,29671.0,29671.0,29671.0,0.0,50.75,162.24375
padded,6,56,13.630796194076538,1.2992024421691895,6.157623893196312,1620.2247868972795,4.3106864530863716,1261.7225295096198,2091,14,29671.0,29671.0,29671.0,0.0,44.035714285714285,152.0557142857143
padded,7,64,14.927146911621094,1.190680742263794,6.718845544431934,1970.3014559046646,4.512873675930644,1321.2142822798824,2325,21,29671.0,29671.0,29671.0,0.0,47.541666666666664,158.38416666666666
multi_kernel,0,8,1.9478349685668945,1.9478349685668945,4.107124129661735,963.1206084056769,4.107124129661735,963.1206084056769,1858,18,31091.6,31617.0,30453.0,1164.0,50.9,155.64925
multi_kernel,1,16,6.364961624145508,4.301288604736328,1.8599077474575565,604.2375294552736,2.5603590347218184,716.1004175237586,2570,29,31092.0,31617.0,30453.0,1164.0,68.4090909090909,156.81886363636363
multi_kernel,2,24,8.255217790603638,1.7676293849945068,4.525835601010255,1461.2791696761858,2.9937307691587067,880.4063236967563,2569,14,31092.0,31617.0,30453.0,1164.0,61.361111111111114,155.25416666666663
multi_kernel,3,32,11.342535495758057,3.0003318786621094,2.6663716960429436,764.2487873783087,2.9045796118994387,848.7726234647391,2270,23,31092.0,31617.0,30453.0,1164.0,60.18333333333333,158.36833333333337
multi_kernel,4,40,13.205469608306885,1.759019374847412,4.547988563624529,1391.684500469106,3.130844844160971,923.5209579063825,2428,20,31092.0,31617.0,30453.0,1164.0,63.166666666666664,155.97749999999996
multi_kernel,5,48,17.1638503074646,3.825439214706421,2.091263133719392,648.0301635612966,2.891297439450183,860.0405175097858,2434,45,31092.0,31617.0,30453.0,1164.0,65.13157894736842,155.16302631578955
multi_kernel,6,56,18.968262910842896,1.7064502239227295,4.688094553153665,1234.1408911177023,3.0587731823178315,894.9096396267026,2091,15,31092.0,31617.0,30453.0,1164.0,51.5625,150.6134375
multi_kernel,7,64,20.5697340965271,1.5102629661560059,5.297090757884361,1553.371864749589,3.2293456098664794,945.0881761374869,2325,21,31092.0,31617.0,30453.0,1164.0,51.464285714285715,153.77714285714288
cross_layer,0,8,1.8010826110839844,1.8010826110839844,4.441772937436328,1041.5957538288187,4.441772937436328,1041.5957538288187,1858,18,23253.777777777777,23775.0,22779.0,996.0,48.69444444444444,154.52166666666662
cross_layer,1,16,4.44779109954834,2.547708511352539,3.140076647054464,1020.132400711819,3.679183375226259,1029.0216002585944,2570,29,23254.0,23775.0,22779.0,996.0,64.01923076923077,159.71019230769235
cross_layer,2,24,6.012295961380005,1.4471988677978516,5.5279203003891935,1786.209247063258,4.1407939006860675,1218.0835391184849,2569,16,23254.0,23775.0,22779.0,996.0,56.0625,155.23250000000002
cross_layer,3,32,8.163863897323608,2.057494640350342,3.888223980324825,1113.4901423655217,4.074624387164237,1190.6816451366492,2270,21,23254.0,23775.0,22779.0,996.0,52.675,158.12275000000002
cross_layer,4,40,9.93249797821045,1.6683614253997803,4.795124052980909,1476.2988178114972,4.2008660678629575,1240.7257931433244,2428,35,23254.0,23775.0,22779.0,996.0,54.5625,156.55312500000002
cross_layer,5,48,12.157703876495361,2.1185946464538574,3.7760880843301226,1171.5313281634205,4.123555218140951,1228.13219580298,2434,48,23254.0,23775.0,22779.0,996.0,56.225,153.57999999999998
cross_layer,6,56,13.516791820526123,1.2562446594238281,6.368186276444884,1676.4250372741158,4.342200994187396,1271.7996554761012,2091,15,23254.0,23775.0,22779.0,996.0,45.958333333333336,150.08916666666667
cross_layer,7,64,14.704997062683105,1.086078405380249,7.36595070887088,2160.0650453763856,4.577063666764754,1340.7935878829003,2325,21,23254.0,23775.0,22779.0,996.0,40.65,152.458
